Kabupaten/Kota,Luas_Panen,Produksi_Padi,Produksi_Beras,Kluster
Kabupaten Cilacap,117627,772113,444011,1
Kabupaten Banyumas,52400,284554,163635,4
Kabupaten Purbalingga,28616,165622,95243,5
Kabupaten Banjarnegara,18904,114912,66081,5
Kabupaten Kebumen,73676,425285,244564,3
Kabupaten Purworejo,49845,283105,162802,4
Kabupaten Wonosobo,13728,70459,40518,6
Kabupaten Magelang,34634,175080,100681,5
Kabupaten Boyolali,47760,302311,173847,4
Kabupaten Klaten,63671,367724,211463,3
Kabupaten Sukoharjo,45228,308688,177514,4
Kabupaten Wonogiri,62444,380055,218554,3
Kabupaten Karanganyar,43014,277554,159610,4
Kabupaten Sragen,109013,683496,393051,2
Kabupaten Grobogan,131930,787275,452730,1
Kabupaten Blora,93986,485012,278910,3
Kabupaten Rembang,31591,180299,103682,5
Kabupaten Pati,101006,588697,338535,2
Kabupaten Kudus,31698,196822,113184,5
Kabupaten Jepara,40732,209088,120238,5
Kabupaten Demak,106711,617855,355303,2
Kabupaten Semarang,27949,147746,84962,5
Kabupaten Temanggung,12413,58782,33803,6
Kabupaten Kendal,33303,169771,97629,5
Kabupaten Batang,30064,131915,75859,5
Kabupaten Pekalongan,40259,167071,96075,5
Kabupaten Pemalang,73067,405440,233152,3
Kabupaten Tegal,65086,340554,195839,4
Kabupaten Brebes,79437,450663,259158,3
Kota Magelang,163,798,459,6
Kota Surakarta,39,156,90,6
Kota Salatiga,640,3614,2078,6
Kota Semarang,4086,15691,9023,6
Kota Pekalongan,1628,7684,4419,6
Kota Tegal,585,3179,1828,6
